,NU_ANO,TP_FAIXA_ETARIA,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_NACIONALIDADE,TP_ST_CONCLUSAO,TP_ANO_CONCLUIU,TP_ESCOLA,TP_ENSINO,IN_TREINEIRO,CO_MUNICIPIO_ESC,NO_MUNICIPIO_ESC,CO_UF_ESC,SG_UF_ESC,TP_DEPENDENCIA_ADM_ESC,TP_LOCALIZACAO_ESC,TP_SIT_FUNC_ESC,CO_MUNICIPIO_PROVA,NO_MUNICIPIO_PROVA,CO_UF_PROVA,SG_UF_PROVA,TP_PRESENCA_CN,TP_PRESENCA_CH,TP_PRESENCA_LC,TP_PRESENCA_MT,CO_PROVA_CN,CO_PROVA_CH,CO_PROVA_LC,CO_PROVA_MT,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,TP_LINGUA,TP_STATUS_REDACAO,NU_NOTA_REDACAO,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023,Q024,Q025
35,2022,3,M,1,1,1,2,0,2,1.0,0,5300108.0,Brasília,53.0,DF,2.0,1.0,1.0,5300108,Brasília,53,DF,1,1,1,1,1087.0,1056.0,1066.0,1078.0,508.6,560.0,547.4,604.2,0,1.0,600.0,D,D,C,B,6,F,A,B,D,A,A,B,B,B,A,B,A,A,B,A,A,E,A,C,B
36,2022,3,F,1,1,2,2,0,2,1.0,0,5300108.0,Brasília,53.0,DF,2.0,1.0,1.0,5300108,Brasília,53,DF,1,1,1,1,1086.0,1055.0,1065.0,1076.0,440.1,531.2,542.0,432.1,1,1.0,640.0,E,F,B,D,3,H,A,B,C,B,A,B,A,B,A,B,A,A,B,A,A,D,A,B,B
37,2022,6,F,1,3,1,2,0,2,,0,5300108.0,Brasília,53.0,DF,2.0,1.0,1.0,5300108,Brasília,53,DF,1,1,1,1,1088.0,1058.0,1067.0,1077.0,391.1,418.5,385.7,416.9,0,1.0,600.0,B,D,C,B,4,C,A,C,E,B,A,B,A,B,A,B,A,A,B,A,B,E,A,B,B
38,2022,3,F,1,3,1,2,0,2,1.0,0,5300108.0,Brasília,53.0,DF,2.0,1.0,1.0,5300108,Brasília,53,DF,1,1,1,1,1086.0,1055.0,1065.0,1076.0,489.0,492.1,520.2,395.9,0,1.0,560.0,B,B,F,B,3,B,A,B,C,A,A,B,A,B,A,A,A,A,B,A,A,D,A,A,B
39,2022,4,F,1,3,1,2,0,2,1.0,0,5300108.0,Brasília,53.0,DF,2.0,1.0,1.0,5300108,Brasília,53,DF,0,0,0,0,,,,,,,,,0,,,E,D,C,B,4,B,A,B,C,A,A,B,B,A,A,A,A,A,B,A,A,C,A,A,A
40,2022,5,F,1,2,1,2,0,2,1.0,0,5300108.0,Brasília,53.0,DF,2.0,1.0,1.0,5300108,Brasília,53,DF,0,0,0,0,,,,,,,,,0,,,C,B,F,C,6,B,A,B,B,A,A,B,A,B,B,B,A,A,B,A,A,C,A,A,B
41,2022,3,F,1,3,1,2,0,2,1.0,0,5300108.0,Brasília,53.0,DF,2.0,1.0,1.0,5300108,Brasília,53,DF,1,1,1,1,1085.0,1057.0,1068.0,1075.0,549.9,562.1,579.7,549.3,1,1.0,740.0,C,E,C,B,3,B,A,B,C,A,A,B,A,B,A,B,A,A,A,A,A,B,A,A,B
42,2022,4,F,1,1,1,2,0,2,1.0,0,5300108.0,Brasília,53.0,DF,2.0,1.0,1.0,5300108,Brasília,53,DF,1,1,1,1,1085.0,1057.0,1068.0,1075.0,458.8,506.7,415.9,485.0,1,1.0,540.0,B,D,B,B,7,A,A,C,D,A,B,B,B,A,A,A,A,A,B,A,A,B,A,A,B
43,2022,7,F,1,2,1,2,0,2,,0,5300108.0,Brasília,53.0,DF,2.0,1.0,1.0,5300108,Brasília,53,DF,0,0,0,0,,,,,,,,,1,,,H,E,F,B,3,B,B,B,C,A,A,B,A,A,A,B,A,A,B,A,A,C,A,A,B
44,2022,2,F,1,3,1,2,0,2,1.0,0,5300108.0,Brasília,53.0,DF,2.0,1.0,1.0,5300108,Brasília,53,DF,1,1,1,1,1088.0,1058.0,1067.0,1077.0,427.7,519.8,498.7,532.0,0,1.0,620.0,E,E,B,B,3,C,B,B,C,A,A,B,A,B,A,A,A,A,B,A,A,D,A,A,B
45,2022,2,M,1,1,1,2,0,2,1.0,0,5300108.0,Brasília,53.0,DF,1.0,1.0,1.0,5300108,Brasília,53,DF,1,1,1,1,1088.0,1058.0,1067.0,1077.0,559.1,582.5,538.9,670.4,0,1.0,620.0,G,F,E,D,4,L,A,D,D,B,A,B,B,B,A,B,A,B,D,A,A,E,A,D,B
46,2022,3,F,1,3,1,2,0,2,1.0,0,5300108.0,Brasília,53.0,DF,2.0,1.0,1.0,5300108,Brasília,53,DF,1,1,1,1,1085.0,1057.0,1068.0,1075.0,555.0,561.8,580.7,548.8,1,1.0,620.0,G,E,E,D,7,E,A,D,D,B,A,C,C,B,B,B,A,B,B,A,B,E,B,B,B
47,2022,3,F,1,3,1,2,0,2,1.0,0,5300108.0,Brasília,53.0,DF,2.0,1.0,1.0,5300108,Brasília,53,DF,1,1,1,1,1087.0,1056.0,1066.0,1078.0,475.1,513.2,482.1,521.4,1,1.0,520.0,H,D,B,B,5,B,A,B,C,A,A,B,A,B,A,A,A,A,B,A,A,C,A,A,B
48,2022,2,M,1,3,1,2,0,2,1.0,0,5300108.0,Brasília,53.0,DF,2.0,1.0,1.0,5300108,Brasília,53,DF,1,1,1,1,1088.0,1058.0,1067.0,1077.0,558.5,573.9,552.9,548.4,1,1.0,780.0,D,D,C,C,9,C,A,C,D,B,A,B,A,B,A,B,A,A,B,A,A,E,A,B,B
49,2022,2,M,1,4,1,2,0,2,1.0,0,5300108.0,Brasília,53.0,DF,2.0,1.0,1.0,5300108,Brasília,53,DF,1,1,1,1,1086.0,1055.0,1065.0,1076.0,430.2,465.5,541.2,531.6,1,1.0,440.0,C,G,C,D,3,D,A,B,C,B,A,B,B,B,B,B,A,B,C,A,A,B,A,B,B
50,2022,3,M,1,3,1,2,0,2,1.0,0,5300108.0,Brasília,53.0,DF,2.0,1.0,1.0,5300108,Brasília,53,DF,1,1,1,1,1088.0,1058.0,1067.0,1077.0,479.5,506.0,531.5,548.0,0,1.0,640.0,D,E,B,B,9,B,A,B,C,B,A,C,A,A,A,A,A,A,B,A,B,B,B,A,B
51,2022,2,F,1,3,1,2,0,2,1.0,0,5300108.0,Brasília,53.0,DF,2.0,1.0,1.0,5300108,Brasília,53,DF,1,1,1,1,1087.0,1056.0,1066.0,1078.0,467.9,570.2,560.6,612.5,0,1.0,540.0,B,B,C,B,4,B,A,C,D,A,A,B,A,B,A,B,A,A,B,A,A,A,A,A,B
52,2022,3,F,1,1,1,2,0,3,1.0,0,5300108.0,Brasília,53.0,DF,4.0,1.0,1.0,5300108,Brasília,53,DF,1,1,1,1,1085.0,1057.0,1068.0,1075.0,463.0,605.8,555.5,666.7,1,1.0,800.0,E,E,C,D,2,C,A,B,C,B,A,B,B,B,A,A,A,A,C,A,B,C,A,B,B
53,2022,2,F,1,3,1,2,0,2,1.0,0,5300108.0,Brasília,53.0,DF,2.0,1.0,1.0,5300108,Brasília,53,DF,1,1,1,1,1087.0,1056.0,1066.0,1078.0,469.2,543.4,534.3,400.9,0,1.0,560.0,D,C,B,B,5,B,A,B,C,A,A,B,A,A,A,B,A,A,B,A,A,B,B,B,B
54,2022,2,F,1,3,1,2,0,2,1.0,0,5300108.0,Brasília,53.0,DF,2.0,1.0,1.0,5300108,Brasília,53,DF,1,1,1,1,1086.0,1055.0,1065.0,1076.0,600.2,631.7,584.7,611.5,0,1.0,860.0,C,A,C,B,3,C,A,C,D,A,A,B,B,B,A,A,A,A,B,B,B,E,A,A,B
55,2022,3,F,1,2,1,2,0,2,1.0,0,5300108.0,Brasília,53.0,DF,2.0,1.0,1.0,5300108,Brasília,53,DF,1,1,1,1,1086.0,1055.0,1065.0,1076.0,422.7,534.5,559.2,428.7,1,1.0,580.0,C,C,B,B,4,C,A,B,C,B,B,B,B,B,A,B,A,A,B,A,A,E,B,A,B
56,2022,3,M,1,1,1,2,0,2,1.0,0,5300108.0,Brasília,53.0,DF,2.0,1.0,1.0,5300108,Brasília,53,DF,1,1,1,1,1088.0,1058.0,1067.0,1077.0,538.3,581.4,608.9,707.4,0,1.0,600.0,E,F,D,D,4,F,A,C,D,B,A,B,B,B,A,B,A,B,B,A,A,E,A,C,B
57,2022,3,M,1,3,1,2,0,2,1.0,0,5300108.0,Brasília,53.0,DF,2.0,1.0,1.0,5300108,Brasília,53,DF,1,1,1,1,1086.0,1055.0,1065.0,1076.0,540.4,609.2,594.3,579.8,0,1.0,820.0,H,B,B,B,2,C,A,C,D,B,A,B,B,B,A,B,A,A,B,A,A,C,A,B,B
58,2022,2,F,1,3,1,2,0,2,1.0,0,5300108.0,Brasília,53.0,DF,2.0,1.0,1.0,5300108,Brasília,53,DF,1,1,1,1,1088.0,1058.0,1067.0,1077.0,516.7,605.7,626.8,624.6,0,1.0,740.0,E,E,D,D,5,C,A,B,C,A,A,B,B,B,A,B,A,B,B,A,A,E,A,A,B
59,2022,4,M,1,2,1,2,0,2,1.0,0,5300108.0,Brasília,53.0,DF,2.0,1.0,1.0,5300108,Brasília,53,DF,1,1,1,1,1088.0,1058.0,1067.0,1077.0,557.0,570.1,507.8,590.1,0,1.0,340.0,E,E,B,B,4,B,B,B,C,A,A,B,A,A,A,B,A,A,B,A,A,B,A,A,B
60,2022,2,F,1,2,1,2,0,3,1.0,0,5300108.0,Brasília,53.0,DF,4.0,1.0,1.0,5300108,Brasília,53,DF,1,1,1,1,1088.0,1058.0,1067.0,1077.0,588.1,601.0,579.6,597.6,0,1.0,620.0,F,F,D,D,4,N,A,D,D,C,A,B,B,C,A,B,A,B,D,A,A,E,B,C,B
61,2022,3,F,1,3,1,2,0,2,1.0,0,5300108.0,Brasília,53.0,DF,2.0,1.0,1.0,5300108,Brasília,53,DF,1,1,1,1,1088.0,1058.0,1067.0,1077.0,404.4,549.2,541.4,357.8,1,1.0,580.0,E,G,C,D,5,H,A,C,D,A,A,B,A,B,A,A,A,A,B,A,B,E,A,B,B
62,2022,2,F,1,3,1,2,0,2,1.0,0,5300108.0,Brasília,53.0,DF,2.0,1.0,1.0,5300108,Brasília,53,DF,1,1,1,1,1087.0,1056.0,1066.0,1078.0,574.3,562.6,505.0,641.0,1,1.0,600.0,D,E,C,B,4,D,A,B,C,B,A,B,A,B,A,A,A,A,B,A,A,D,A,A,B
63,2022,3,M,1,1,1,2,0,2,1.0,0,5300108.0,Brasília,53.0,DF,2.0,1.0,1.0,5300108,Brasília,53,DF,1,1,1,1,1086.0,1055.0,1065.0,1076.0,476.5,506.3,595.6,420.5,0,1.0,620.0,B,F,B,F,4,E,A,B,C,B,A,B,A,B,A,B,A,A,B,A,A,B,B,B,B
64,2022,3,F,1,3,1,2,0,2,1.0,0,5300108.0,Brasília,53.0,DF,2.0,1.0,1.0,5300108,Brasília,53,DF,1,1,1,1,1086.0,1055.0,1065.0,1076.0,460.7,503.0,539.5,467.2,1,1.0,700.0,B,E,C,C,6,B,A,B,C,B,A,B,B,A,A,B,A,A,B,A,A,D,B,A,B
65,2022,2,M,1,1,1,2,0,2,1.0,0,5300108.0,Brasília,53.0,DF,2.0,1.0,1.0,5300108,Brasília,53,DF,1,1,1,1,1086.0,1055.0,1065.0,1076.0,522.6,615.9,573.6,554.4,0,1.0,660.0,E,F,D,B,4,I,A,C,D,B,A,B,B,B,A,A,A,A,C,A,A,E,A,C,B
66,2022,2,M,1,3,1,2,0,2,1.0,0,5300108.0,Brasília,53.0,DF,2.0,1.0,1.0,5300108,Brasília,53,DF,1,1,1,1,1085.0,1057.0,1068.0,1075.0,434.6,463.4,446.7,499.3,1,1.0,520.0,E,F,C,D,2,B,A,B,C,A,A,B,B,A,A,A,A,A,B,A,A,A,A,B,B
67,2022,3,F,1,1,1,2,0,2,1.0,0,5300108.0,Brasília,53.0,DF,2.0,1.0,1.0,5300108,Brasília,53,DF,1,1,1,1,1087.0,1056.0,1066.0,1078.0,488.2,529.4,582.8,608.2,1,1.0,720.0,B,C,C,B,4,D,A,C,D,A,A,B,B,B,A,A,A,A,C,A,A,D,A,A,B
